"journal","pubYear","n","N","N.year.overall","N.percent","years_avail"
"Journal of Psychosocial Oncology","1993","3",10,28,35.7142857142857,4
"Journal of Psychosocial Oncology","1993","4+",9,28,32.1428571428571,4
"Journal of Psychosocial Oncology","1994","1",1,18,5.55555555555556,4
"Journal of Psychosocial Oncology","1994","2",4,18,22.2222222222222,4
"Journal of Psychosocial Oncology","1994","3",7,18,38.8888888888889,4
"Journal of Psychosocial Oncology","1994","4+",6,18,33.3333333333333,4
"Journal of Psychosocial Oncology","1995","1",2,18,11.1111111111111,4
"Journal of Psychosocial Oncology","1995","2",7,18,38.8888888888889,4
"Journal of Psychosocial Oncology","1995","3",4,18,22.2222222222222,4
"Journal of Psychosocial Oncology","1995","4+",5,18,27.7777777777778,4
"Journal of Psychosocial Oncology","1996","1",4,20,20,4
"Journal of Psychosocial Oncology","1996","2",5,20,25,4
"Journal of Psychosocial Oncology","1996","3",3,20,15,4
"Journal of Psychosocial Oncology","1996","4+",8,20,40,4
"Journal of Psychosocial Oncology","1997","1",3,17,17.6470588235294,4
"Journal of Psychosocial Oncology","1997","2",4,17,23.5294117647059,4
"Journal of Psychosocial Oncology","1997","3",3,17,17.6470588235294,4
"Journal of Psychosocial Oncology","1997","4+",7,17,41.1764705882353,4
"Journal of Psychosocial Oncology","1998","2",1,10,10,3
"Journal of Psychosocial Oncology","1998","3",4,10,40,3
"Journal of Psychosocial Oncology","1998","4+",5,10,50,3
"Journal of Psychosocial Oncology","1999","1",3,23,13.0434782608696,4
"Journal of Psychosocial Oncology","1999","2",4,23,17.3913043478261,4
"Journal of Psychosocial Oncology","1999","3",4,23,17.3913043478261,4
"Journal of Psychosocial Oncology","1999","4+",12,23,52.1739130434783,4
"Journal of Psychosocial Oncology","2000","1",1,19,5.26315789473684,4
"Journal of Psychosocial Oncology","2000","2",5,19,26.3157894736842,4
"Journal of Psychosocial Oncology","2000","3",3,19,15.7894736842105,4
"Journal of Psychosocial Oncology","2000","4+",10,19,52.6315789473684,4
"Journal of Psychosocial Oncology","2001","1",5,16,31.25,4
"Journal of Psychosocial Oncology","2001","2",5,16,31.25,4
"Journal of Psychosocial Oncology","2001","3",2,16,12.5,4
"Journal of Psychosocial Oncology","2001","4+",4,16,25,4
"Journal of Psychosocial Oncology","2002","1",2,18,11.1111111111111,4
"Journal of Psychosocial Oncology","2002","2",5,18,27.7777777777778,4
"Journal of Psychosocial Oncology","2002","3",4,18,22.2222222222222,4
"Journal of Psychosocial Oncology","2002","4+",7,18,38.8888888888889,4
"Journal of Psychosocial Oncology","2003","1",3,20,15,4
"Journal of Psychosocial Oncology","2003","2",6,20,30,4
"Journal of Psychosocial Oncology","2003","3",4,20,20,4
"Journal of Psychosocial Oncology","2003","4+",7,20,35,4
"Journal of Psychosocial Oncology","2004","1",2,23,8.69565217391304,4
"Journal of Psychosocial Oncology","2004","2",7,23,30.4347826086957,4
"Journal of Psychosocial Oncology","2004","3",3,23,13.0434782608696,4
"Journal of Psychosocial Oncology","2004","4+",11,23,47.8260869565217,4
"Journal of Psychosocial Oncology","2005","1",1,22,4.54545454545455,4
"Journal of Psychosocial Oncology","2005","2",3,22,13.6363636363636,4
"Journal of Psychosocial Oncology","2005","3",8,22,36.3636363636364,4
"Journal of Psychosocial Oncology","2005","4+",10,22,45.4545454545455,4
"Journal of Psychosocial Oncology","2006","1",4,20,20,4
"Journal of Psychosocial Oncology","2006","2",2,20,10,4
"Journal of Psychosocial Oncology","2006","3",4,20,20,4
"Journal of Psychosocial Oncology","2006","4+",10,20,50,4
"Journal of Psychosocial Oncology","2007","1",2,27,7.40740740740741,4
"Journal of Psychosocial Oncology","2007","2",4,27,14.8148148148148,4
"Journal of Psychosocial Oncology","2007","3",3,27,11.1111111111111,4
"Journal of Psychosocial Oncology","2007","4+",18,27,66.6666666666667,4
"Journal of Psychosocial Oncology","2008","1",2,28,7.14285714285714,4
"Journal of Psychosocial Oncology","2008","2",5,28,17.8571428571429,4
"Journal of Psychosocial Oncology","2008","3",3,28,10.7142857142857,4
"Journal of Psychosocial Oncology","2008","4+",18,28,64.2857142857143,4
"Journal of Psychosocial Oncology","2009","1",1,16,6.25,4
"Journal of Psychosocial Oncology","2009","2",2,16,12.5,4
"Journal of Psychosocial Oncology","2009","3",4,16,25,4
"Journal of Psychosocial Oncology","2009","4+",9,16,56.25,4
"Journal of Psychosocial Oncology","2010","1",3,34,8.82352941176471,4
"Journal of Psychosocial Oncology","2010","2",7,34,20.5882352941176,4
"Journal of Psychosocial Oncology","2010","3",8,34,23.5294117647059,4
"Journal of Psychosocial Oncology","2010","4+",16,34,47.0588235294118,4
"Journal of Psychosocial Oncology","2011","1",4,42,9.52380952380952,4
"Journal of Psychosocial Oncology","2011","2",5,42,11.9047619047619,4
"Journal of Psychosocial Oncology","2011","3",8,42,19.047619047619,4
"Journal of Psychosocial Oncology","2011","4+",25,42,59.5238095238095,4
"Journal of Psychosocial Oncology","2012","1",1,40,2.5,4
"Journal of Psychosocial Oncology","2012","2",2,40,5,4
"Journal of Psychosocial Oncology","2012","3",13,40,32.5,4
"Journal of Psychosocial Oncology","2012","4+",24,40,60,4
"Journal of Psychosocial Oncology","2013","1",4,41,9.75609756097561,4
"Journal of Psychosocial Oncology","2013","2",8,41,19.5121951219512,4
"Journal of Psychosocial Oncology","2013","3",5,41,12.1951219512195,4
"Journal of Psychosocial Oncology","2013","4+",24,41,58.5365853658537,4
"Journal of Religion & Spirituality in Social Work","2004","1",6,6,100,1
"Journal of Religion & Spirituality in Social Work","2005","1",3,10,30,3
"Journal of Religion & Spirituality in Social Work","2005","2",5,10,50,3
"Journal of Religion & Spirituality in Social Work","2005","4+",2,10,20,3
"Journal of Religion & Spirituality in Social Work","2006","1",9,19,47.3684210526316,3
"Journal of Religion & Spirituality in Social Work","2006","2",7,19,36.8421052631579,3
"Journal of Religion & Spirituality in Social Work","2006","3",3,19,15.7894736842105,3
"Journal of Religion & Spirituality in Social Work","2007","1",6,17,35.2941176470588,3
"Journal of Religion & Spirituality in Social Work","2007","2",9,17,52.9411764705882,3
"Journal of Religion & Spirituality in Social Work","2007","3",2,17,11.7647058823529,3
"Journal of Religion & Spirituality in Social Work","2008","1",12,21,57.1428571428571,3
"Journal of Religion & Spirituality in Social Work","2008","2",5,21,23.8095238095238,3
"Journal of Religion & Spirituality in Social Work","2008","3",4,21,19.047619047619,3
"Journal of Religion & Spirituality in Social Work","2009","1",14,25,56,3
"Journal of Religion & Spirituality in Social Work","2009","2",9,25,36,3
"Journal of Religion & Spirituality in Social Work","2009","4+",2,25,8,3
"Journal of Religion & Spirituality in Social Work","2010","1",8,21,38.0952380952381,3
"Journal of Religion & Spirituality in Social Work","2010","2",10,21,47.6190476190476,3
"Journal of Religion & Spirituality in Social Work","2010","3",3,21,14.2857142857143,3
"Journal of Religion & Spirituality in Social Work","2011","1",12,22,54.5454545454545,4
"Journal of Religion & Spirituality in Social Work","2011","2",5,22,22.7272727272727,4
"Journal of Religion & Spirituality in Social Work","2011","3",3,22,13.6363636363636,4
"Journal of Religion & Spirituality in Social Work","2011","4+",2,22,9.09090909090909,4
"Journal of Religion & Spirituality in Social Work","2012","1",11,20,55,4
"Journal of Religion & Spirituality in Social Work","2012","2",5,20,25,4
"Journal of Religion & Spirituality in Social Work","2012","3",1,20,5,4
"Journal of Religion & Spirituality in Social Work","2012","4+",3,20,15,4
"Journal of Religion & Spirituality in Social Work","2013","1",12,21,57.1428571428571,4
"Journal of Religion & Spirituality in Social Work","2013","2",3,21,14.2857142857143,4
"Journal of Religion & Spirituality in Social Work","2013","3",2,21,9.52380952380952,4
"Journal of Religion & Spirituality in Social Work","2013","4+",4,21,19.047619047619,4
"Journal of School Social Work","1989","1",8,14,57.1428571428571,2
"Journal of School Social Work","1989","2",6,14,42.8571428571429,2
"Journal of School Social Work","1990","1",7,14,50,2
"Journal of School Social Work","1990","2",7,14,50,2
"Journal of School Social Work","1991","1",2,3,66.6666666666667,2
"Journal of School Social Work","1991","4+",1,3,33.3333333333333,2
"Journal of School Social Work","1993","1",4,5,80,2
"Journal of School Social Work","1993","2",1,5,20,2
"Journal of School Social Work","1994","1",4,4,100,1
"Journal of School Social Work","1995","1",2,4,50,3
"Journal of School Social Work","1995","2",1,4,25,3
"Journal of School Social Work","1995","4+",1,4,25,3
"Journal of School Social Work","1997","1",1,6,16.6666666666667,3
"Journal of School Social Work","1997","2",4,6,66.6666666666667,3
"Journal of School Social Work","1997","3",1,6,16.6666666666667,3
"Journal of School Social Work","1998","1",2,4,50,2
"Journal of School Social Work","1998","2",2,4,50,2
"Journal of School Social Work","2000","1",6,7,85.7142857142857,2
"Journal of School Social Work","2000","2",1,7,14.2857142857143,2
"Journal of School Social Work","2001","1",4,4,100,1
"Journal of School Social Work","2004","1",1,2,50,2
"Journal of School Social Work","2004","2",1,2,50,2
"Journal of Social Service Research","1989","1",6,17,35.2941176470588,4
"Journal of Social Service Research","1989","2",8,17,47.0588235294118,4
"Journal of Social Service Research","1989","3",2,17,11.7647058823529,4
"Journal of Social Service Research","1989","4+",1,17,5.88235294117647,4
"Journal of Social Service Research","1990","1",3,10,30,4
"Journal of Social Service Research","1990","2",4,10,40,4
"Journal of Social Service Research","1990","3",2,10,20,4
"Journal of Social Service Research","1990","4+",1,10,10,4
"Journal of Social Service Research","1991","1",7,22,31.8181818181818,4
"Journal of Social Service Research","1991","2",10,22,45.4545454545455,4
"Journal of Social Service Research","1991","3",4,22,18.1818181818182,4
"Journal of Social Service Research","1991","4+",1,22,4.54545454545455,4
"Journal of Social Service Research","1992","1",12,24,50,3
"Journal of Social Service Research","1992","2",10,24,41.6666666666667,3
"Journal of Social Service Research","1992","3",2,24,8.33333333333333,3
"Journal of Social Service Research","1993","1",11,22,50,3
"Journal of Social Service Research","1993","2",10,22,45.4545454545455,3
"Journal of Social Service Research","1993","4+",1,22,4.54545454545455,3
"Journal of Social Service Research","1994","1",15,33,45.4545454545455,4
"Journal of Social Service Research","1994","2",14,33,42.4242424242424,4
"Journal of Social Service Research","1994","3",3,33,9.09090909090909,4
"Journal of Social Service Research","1994","4+",1,33,3.03030303030303,4
"Journal of Social Service Research","1995","1",4,15,26.6666666666667,3
"Journal of Social Service Research","1995","2",9,15,60,3
"Journal of Social Service Research","1995","3",2,15,13.3333333333333,3
"Journal of Social Service Research","1996","1",6,12,50,3
"Journal of Social Service Research","1996","2",5,12,41.6666666666667,3
"Journal of Social Service Research","1996","3",1,12,8.33333333333333,3
"Journal of Social Service Research","1997","1",8,17,47.0588235294118,2
"Journal of Social Service Research","1997","2",9,17,52.9411764705882,2
"Journal of Social Service Research","1998","1",6,16,37.5,4
"Journal of Social Service Research","1998","2",5,16,31.25,4
"Journal of Social Service Research","1998","3",2,16,12.5,4
"Journal of Social Service Research","1998","4+",3,16,18.75,4
"Journal of Social Service Research","1999","1",10,30,33.3333333333333,4
"Journal of Social Service Research","1999","2",11,30,36.6666666666667,4
"Journal of Social Service Research","1999","3",4,30,13.3333333333333,4
"Journal of Social Service Research","1999","4+",5,30,16.6666666666667,4
"Journal of Social Service Research","2000","1",5,16,31.25,4
"Journal of Social Service Research","2000","2",6,16,37.5,4
"Journal of Social Service Research","2000","3",2,16,12.5,4
"Journal of Social Service Research","2000","4+",3,16,18.75,4
"Journal of Social Service Research","2001","1",6,18,33.3333333333333,4
"Journal of Social Service Research","2001","2",7,18,38.8888888888889,4
"Journal of Social Service Research","2001","3",2,18,11.1111111111111,4
"Journal of Social Service Research","2001","4+",3,18,16.6666666666667,4
"Journal of Social Service Research","2002","2",3,7,42.8571428571429,3
"Journal of Social Service Research","2002","3",2,7,28.5714285714286,3
"Journal of Social Service Research","2002","4+",2,7,28.5714285714286,3
"Journal of Social Service Research","2003","1",6,20,30,4
"Journal of Social Service Research","2003","2",6,20,30,4
"Journal of Social Service Research","2003","3",5,20,25,4
"Journal of Social Service Research","2003","4+",3,20,15,4
"Journal of Social Service Research","2004","1",5,16,31.25,4
"Journal of Social Service Research","2004","2",4,16,25,4
"Journal of Social Service Research","2004","3",5,16,31.25,4
"Journal of Social Service Research","2004","4+",2,16,12.5,4
"Journal of Social Service Research","2005","1",6,18,33.3333333333333,4
"Journal of Social Service Research","2005","2",7,18,38.8888888888889,4
"Journal of Social Service Research","2005","3",2,18,11.1111111111111,4
"Journal of Social Service Research","2005","4+",3,18,16.6666666666667,4
"Journal of Social Service Research","2006","1",10,32,31.25,4
"Journal of Social Service Research","2006","2",8,32,25,4
"Journal of Social Service Research","2006","3",8,32,25,4
"Journal of Social Service Research","2006","4+",6,32,18.75,4
"Journal of Social Service Research","2007","1",5,28,17.8571428571429,4
"Journal of Social Service Research","2007","2",8,28,28.5714285714286,4
"Journal of Social Service Research","2007","3",11,28,39.2857142857143,4
"Journal of Social Service Research","2007","4+",4,28,14.2857142857143,4
"Journal of Social Service Research","2008","1",2,6,33.3333333333333,4
"Journal of Social Service Research","2008","2",2,6,33.3333333333333,4
"Journal of Social Service Research","2008","3",1,6,16.6666666666667,4
"Journal of Social Service Research","2008","4+",1,6,16.6666666666667,4
"Journal of Social Service Research","2009","1",9,31,29.0322580645161,4
"Journal of Social Service Research","2009","2",11,31,35.4838709677419,4
"Journal of Social Service Research","2009","3",7,31,22.5806451612903,4
"Journal of Social Service Research","2009","4+",4,31,12.9032258064516,4
"Journal of Social Service Research","2010","1",9,36,25,4
"Journal of Social Service Research","2010","2",13,36,36.1111111111111,4
"Journal of Social Service Research","2010","3",8,36,22.2222222222222,4
"Journal of Social Service Research","2010","4+",6,36,16.6666666666667,4
"Journal of Social Service Research","2011","1",11,45,24.4444444444444,4
"Journal of Social Service Research","2011","2",16,45,35.5555555555556,4
"Journal of Social Service Research","2011","3",4,45,8.88888888888889,4
"Journal of Social Service Research","2011","4+",14,45,31.1111111111111,4
"Journal of Social Service Research","2012","1",15,55,27.2727272727273,4
"Journal of Social Service Research","2012","2",14,55,25.4545454545455,4
"Journal of Social Service Research","2012","3",9,55,16.3636363636364,4
"Journal of Social Service Research","2012","4+",17,55,30.9090909090909,4
"Journal of Social Service Research","2013","1",13,50,26,4
"Journal of Social Service Research","2013","2",16,50,32,4
"Journal of Social Service Research","2013","3",12,50,24,4
"Journal of Social Service Research","2013","4+",9,50,18,4
"Journal of Social Work","2001","1",13,21,61.9047619047619,4
"Journal of Social Work","2001","2",6,21,28.5714285714286,4
"Journal of Social Work","2001","3",1,21,4.76190476190476,4
"Journal of Social Work","2001","4+",1,21,4.76190476190476,4
"Journal of Social Work","2002","1",12,15,80,3
"Journal of Social Work","2002","2",2,15,13.3333333333333,3
"Journal of Social Work","2002","3",1,15,6.66666666666667,3
"Journal of Social Work","2003","1",9,13,69.2307692307692,2
"Journal of Social Work","2003","2",4,13,30.7692307692308,2
"Journal of Social Work","2004","1",10,16,62.5,3
"Journal of Social Work","2004","2",4,16,25,3
"Journal of Social Work","2004","3",2,16,12.5,3
"Journal of Social Work","2005","1",9,17,52.9411764705882,4
"Journal of Social Work","2005","2",5,17,29.4117647058824,4
"Journal of Social Work","2005","3",2,17,11.7647058823529,4
"Journal of Social Work","2005","4+",1,17,5.88235294117647,4
"Journal of Social Work","2006","1",10,17,58.8235294117647,4
"Journal of Social Work","2006","2",4,17,23.5294117647059,4
"Journal of Social Work","2006","3",1,17,5.88235294117647,4
"Journal of Social Work","2006","4+",2,17,11.7647058823529,4
"Journal of Social Work","2007","1",8,17,47.0588235294118,4
"Journal of Social Work","2007","2",5,17,29.4117647058824,4
"Journal of Social Work","2007","3",3,17,17.6470588235294,4
"Journal of Social Work","2007","4+",1,17,5.88235294117647,4
"Journal of Social Work","2008","1",9,18,50,3
"Journal of Social Work","2008","2",8,18,44.4444444444444,3
"Journal of Social Work","2008","3",1,18,5.55555555555556,3
"Journal of Social Work","2009","1",6,17,35.2941176470588,4
"Journal of Social Work","2009","2",3,17,17.6470588235294,4
"Journal of Social Work","2009","3",3,17,17.6470588235294,4
"Journal of Social Work","2009","4+",5,17,29.4117647058824,4
"Journal of Social Work","2010","1",5,18,27.7777777777778,3
"Journal of Social Work","2010","2",10,18,55.5555555555556,3
"Journal of Social Work","2010","3",3,18,16.6666666666667,3
"Journal of Social Work","2011","1",10,22,45.4545454545455,4
"Journal of Social Work","2011","2",6,22,27.2727272727273,4
"Journal of Social Work","2011","3",2,22,9.09090909090909,4
"Journal of Social Work","2011","4+",4,22,18.1818181818182,4
"Journal of Social Work","2012","1",16,32,50,4
"Journal of Social Work","2012","2",6,32,18.75,4
"Journal of Social Work","2012","3",4,32,12.5,4
"Journal of Social Work","2012","4+",6,32,18.75,4
"Journal of Social Work","2013","1",11,31,35.4838709677419,4
"Journal of Social Work","2013","2",7,31,22.5806451612903,4
"Journal of Social Work","2013","3",7,31,22.5806451612903,4
"Journal of Social Work","2013","4+",6,31,19.3548387096774,4
"Journal of Social Work & Human Sexuality","1989","1",6,10,60,3
"Journal of Social Work & Human Sexuality","1989","2",3,10,30,3
"Journal of Social Work & Human Sexuality","1989","3",1,10,10,3
"Journal of Social Work & Human Sexuality","1993","1",25,38,65.7894736842105,2
"Journal of Social Work & Human Sexuality","1993","2",13,38,34.2105263157895,2
"Journal of Social Work Education","1990","1",12,27,44.4444444444444,4
"Journal of Social Work Education","1990","2",10,27,37.037037037037,4
"Journal of Social Work Education","1990","3",4,27,14.8148148148148,4
"Journal of Social Work Education","1990","4+",1,27,3.7037037037037,4
"Journal of Social Work Education","1991","1",16,31,51.6129032258064,3
"Journal of Social Work Education","1991","2",10,31,32.258064516129,3
"Journal of Social Work Education","1991","3",5,31,16.1290322580645,3
"Journal of Social Work Education","1992","1",14,34,41.1764705882353,4
"Journal of Social Work Education","1992","2",15,34,44.1176470588235,4
"Journal of Social Work Education","1992","3",4,34,11.7647058823529,4
"Journal of Social Work Education","1992","4+",1,34,2.94117647058824,4
"Journal of Social Work Education","1993","1",14,33,42.4242424242424,4
"Journal of Social Work Education","1993","2",10,33,30.3030303030303,4
"Journal of Social Work Education","1993","3",7,33,21.2121212121212,4
"Journal of Social Work Education","1993","4+",2,33,6.06060606060606,4
"Journal of Social Work Education","1994","1",17,38,44.7368421052632,4
"Journal of Social Work Education","1994","2",15,38,39.4736842105263,4
"Journal of Social Work Education","1994","3",4,38,10.5263157894737,4
"Journal of Social Work Education","1994","4+",2,38,5.26315789473684,4
"Journal of Social Work Education","1995","1",12,35,34.2857142857143,4
"Journal of Social Work Education","1995","2",15,35,42.8571428571429,4
"Journal of Social Work Education","1995","3",6,35,17.1428571428571,4
"Journal of Social Work Education","1995","4+",2,35,5.71428571428571,4
"Journal of Social Work Education","1996","1",22,38,57.8947368421053,4
"Journal of Social Work Education","1996","2",8,38,21.0526315789474,4
"Journal of Social Work Education","1996","3",6,38,15.7894736842105,4
"Journal of Social Work Education","1996","4+",2,38,5.26315789473684,4
"Journal of Social Work Education","1997","1",14,44,31.8181818181818,4
"Journal of Social Work Education","1997","2",21,44,47.7272727272727,4
"Journal of Social Work Education","1997","3",4,44,9.09090909090909,4
"Journal of Social Work Education","1997","4+",5,44,11.3636363636364,4
"Journal of Social Work Education","1998","1",18,39,46.1538461538462,4
"Journal of Social Work Education","1998","2",14,39,35.8974358974359,4
"Journal of Social Work Education","1998","3",4,39,10.2564102564103,4
"Journal of Social Work Education","1998","4+",3,39,7.69230769230769,4
"Journal of Social Work Education","1999","1",17,39,43.5897435897436,4
"Journal of Social Work Education","1999","2",11,39,28.2051282051282,4
"Journal of Social Work Education","1999","3",6,39,15.3846153846154,4
"Journal of Social Work Education","1999","4+",5,39,12.8205128205128,4
"Journal of Social Work Education","2000","1",15,38,39.4736842105263,4
"Journal of Social Work Education","2000","2",17,38,44.7368421052632,4
"Journal of Social Work Education","2000","3",5,38,13.1578947368421,4
"Journal of Social Work Education","2000","4+",1,38,2.63157894736842,4
"Journal of Social Work Education","2001","1",15,36,41.6666666666667,4
"Journal of Social Work Education","2001","2",11,36,30.5555555555556,4
"Journal of Social Work Education","2001","3",7,36,19.4444444444444,4
"Journal of Social Work Education","2001","4+",3,36,8.33333333333333,4
"Journal of Social Work Education","2002","1",11,30,36.6666666666667,4
"Journal of Social Work Education","2002","2",8,30,26.6666666666667,4
"Journal of Social Work Education","2002","3",6,30,20,4
"Journal of Social Work Education","2002","4+",5,30,16.6666666666667,4
"Journal of Social Work Education","2003","1",11,28,39.2857142857143,3
"Journal of Social Work Education","2003","2",13,28,46.4285714285714,3
"Journal of Social Work Education","2003","3",4,28,14.2857142857143,3
"Journal of Social Work Education","2004","1",14,33,42.4242424242424,4
"Journal of Social Work Education","2004","2",7,33,21.2121212121212,4
"Journal of Social Work Education","2004","3",5,33,15.1515151515152,4
"Journal of Social Work Education","2004","4+",7,33,21.2121212121212,4
"Journal of Social Work Education","2005","1",7,37,18.9189189189189,4
"Journal of Social Work Education","2005","2",13,37,35.1351351351351,4
"Journal of Social Work Education","2005","3",10,37,27.027027027027,4
"Journal of Social Work Education","2005","4+",7,37,18.9189189189189,4
"Journal of Social Work Education","2006","1",9,42,21.4285714285714,4
"Journal of Social Work Education","2006","2",14,42,33.3333333333333,4
"Journal of Social Work Education","2006","3",8,42,19.047619047619,4
"Journal of Social Work Education","2006","4+",11,42,26.1904761904762,4
"Journal of Social Work Education","2007","1",8,29,27.5862068965517,4
"Journal of Social Work Education","2007","2",12,29,41.3793103448276,4
"Journal of Social Work Education","2007","3",2,29,6.89655172413793,4
"Journal of Social Work Education","2007","4+",7,29,24.1379310344828,4
"Journal of Social Work Education","2008","1",18,46,39.1304347826087,4
"Journal of Social Work Education","2008","2",17,46,36.9565217391304,4
"Journal of Social Work Education","2008","3",4,46,8.69565217391304,4
"Journal of Social Work Education","2008","4+",7,46,15.2173913043478,4
"Journal of Social Work Education","2009","1",9,34,26.4705882352941,4
"Journal of Social Work Education","2009","2",8,34,23.5294117647059,4
"Journal of Social Work Education","2009","3",11,34,32.3529411764706,4
"Journal of Social Work Education","2009","4+",6,34,17.6470588235294,4
"Journal of Social Work Education","2010","1",8,32,25,4
"Journal of Social Work Education","2010","2",14,32,43.75,4
"Journal of Social Work Education","2010","3",7,32,21.875,4
"Journal of Social Work Education","2010","4+",3,32,9.375,4
"Journal of Social Work Education","2011","1",10,35,28.5714285714286,4
"Journal of Social Work Education","2011","2",4,35,11.4285714285714,4
"Journal of Social Work Education","2011","3",8,35,22.8571428571429,4
"Journal of Social Work Education","2011","4+",13,35,37.1428571428571,4
"Journal of Social Work Education","2012","1",18,52,34.6153846153846,4
"Journal of Social Work Education","2012","2",14,52,26.9230769230769,4
"Journal of Social Work Education","2012","3",13,52,25,4
"Journal of Social Work Education","2012","4+",7,52,13.4615384615385,4
"Journal of Social Work Education","2013","1",13,55,23.6363636363636,4
"Journal of Social Work Education","2013","2",17,55,30.9090909090909,4
"Journal of Social Work Education","2013","3",12,55,21.8181818181818,4
"Journal of Social Work Education","2013","4+",13,55,23.6363636363636,4
"Journal of Social Work in Disability & Rehabilitation","2001","1",1,1,100,1
"Journal of Social Work in Disability & Rehabilitation","2002","1",9,20,45,4
"Journal of Social Work in Disability & Rehabilitation","2002","2",8,20,40,4
"Journal of Social Work in Disability & Rehabilitation","2002","3",2,20,10,4
"Journal of Social Work in Disability & Rehabilitation","2002","4+",1,20,5,4
"Journal of Social Work in Disability & Rehabilitation","2003","1",5,11,45.4545454545455,4
"Journal of Social Work in Disability & Rehabilitation","2003","2",4,11,36.3636363636364,4
"Journal of Social Work in Disability & Rehabilitation","2003","3",1,11,9.09090909090909,4
"Journal of Social Work in Disability & Rehabilitation","2003","4+",1,11,9.09090909090909,4
"Journal of Social Work in Disability & Rehabilitation","2004","1",6,16,37.5,4
"Journal of Social Work in Disability & Rehabilitation","2004","2",6,16,37.5,4
"Journal of Social Work in Disability & Rehabilitation","2004","3",1,16,6.25,4
"Journal of Social Work in Disability & Rehabilitation","2004","4+",3,16,18.75,4
"Journal of Social Work in Disability & Rehabilitation","2005","1",3,9,33.3333333333333,4
"Journal of Social Work in Disability & Rehabilitation","2005","2",3,9,33.3333333333333,4
"Journal of Social Work in Disability & Rehabilitation","2005","3",2,9,22.2222222222222,4
"Journal of Social Work in Disability & Rehabilitation","2005","4+",1,9,11.1111111111111,4
"Journal of Social Work in Disability & Rehabilitation","2006","1",1,4,25,4
"Journal of Social Work in Disability & Rehabilitation","2006","2",1,4,25,4
"Journal of Social Work in Disability & Rehabilitation","2006","3",1,4,25,4
"Journal of Social Work in Disability & Rehabilitation","2006","4+",1,4,25,4
"Journal of Social Work in Disability & Rehabilitation","2007","1",8,13,61.5384615384615,2
"Journal of Social Work in Disability & Rehabilitation","2007","2",5,13,38.4615384615385,2
"Journal of Social Work in Disability & Rehabilitation","2009","1",1,6,16.6666666666667,3
"Journal of Social Work in Disability & Rehabilitation","2009","2",2,6,33.3333333333333,3
"Journal of Social Work in Disability & Rehabilitation","2009","3",3,6,50,3
"Journal of Social Work in Disability & Rehabilitation","2010","1",4,17,23.5294117647059,3
"Journal of Social Work in Disability & Rehabilitation","2010","2",10,17,58.8235294117647,3
"Journal of Social Work in Disability & Rehabilitation","2010","3",3,17,17.6470588235294,3
"Journal of Social Work in Disability & Rehabilitation","2011","1",4,16,25,4
"Journal of Social Work in Disability & Rehabilitation","2011","2",5,16,31.25,4
"Journal of Social Work in Disability & Rehabilitation","2011","3",5,16,31.25,4
"Journal of Social Work in Disability & Rehabilitation","2011","4+",2,16,12.5,4
"Journal of Social Work in Disability & Rehabilitation","2012","2",6,12,50,3
"Journal of Social Work in Disability & Rehabilitation","2012","3",2,12,16.6666666666667,3
"Journal of Social Work in Disability & Rehabilitation","2012","4+",4,12,33.3333333333333,3
"Journal of Social Work in Disability & Rehabilitation","2013","1",7,13,53.8461538461538,4
"Journal of Social Work in Disability & Rehabilitation","2013","2",1,13,7.69230769230769,4
"Journal of Social Work in Disability & Rehabilitation","2013","3",3,13,23.0769230769231,4
"Journal of Social Work in Disability & Rehabilitation","2013","4+",2,13,15.3846153846154,4
"Journal of Social Work in End-of-Life & Palliative Care","2005","1",5,20,25,4
"Journal of Social Work in End-of-Life & Palliative Care","2005","2",7,20,35,4
"Journal of Social Work in End-of-Life & Palliative Care","2005","3",4,20,20,4
"Journal of Social Work in End-of-Life & Palliative Care","2005","4+",4,20,20,4
"Journal of Social Work in End-of-Life & Palliative Care","2006","1",5,9,55.5555555555556,3
"Journal of Social Work in End-of-Life & Palliative Care","2006","2",3,9,33.3333333333333,3
"Journal of Social Work in End-of-Life & Palliative Care","2006","4+",1,9,11.1111111111111,3
"Journal of Social Work in End-of-Life & Palliative Care","2007","1",5,14,35.7142857142857,4
"Journal of Social Work in End-of-Life & Palliative Care","2007","2",5,14,35.7142857142857,4
"Journal of Social Work in End-of-Life & Palliative Care","2007","3",1,14,7.14285714285714,4
"Journal of Social Work in End-of-Life & Palliative Care","2007","4+",3,14,21.4285714285714,4
"Journal of Social Work in End-of-Life & Palliative Care","2008","1",8,16,50,4
"Journal of Social Work in End-of-Life & Palliative Care","2008","2",2,16,12.5,4
"Journal of Social Work in End-of-Life & Palliative Care","2008","3",3,16,18.75,4
"Journal of Social Work in End-of-Life & Palliative Care","2008","4+",3,16,18.75,4
"Journal of Social Work in End-of-Life & Palliative Care","2009","1",3,12,25,4
"Journal of Social Work in End-of-Life & Palliative Care","2009","2",4,12,33.3333333333333,4
"Journal of Social Work in End-of-Life & Palliative Care","2009","3",2,12,16.6666666666667,4
"Journal of Social Work in End-of-Life & Palliative Care","2009","4+",3,12,25,4
"Journal of Social Work in End-of-Life & Palliative Care","2010","1",3,13,23.0769230769231,4
"Journal of Social Work in End-of-Life & Palliative Care","2010","2",5,13,38.4615384615385,4
